s2,s3,s4,s7,s8,s11,s12,s13,s14,s15,s17,s20,s21,label2
0.4819277108433653,0.3213429256594722,0.47147197839298016,0.5861513687600706,0.31818181818198354,0.44642857142857295,0.6545842217483937,0.26470588235270043,0.23268655175972697,0.46017699115044053,0.3333333333333357,0.550387596899224,0.6140568903617734,0
0.4367469879518069,0.36450839328537654,0.4085077650236322,0.4847020933977433,0.31818181818198354,0.39285714285714235,0.6631130063965855,0.35294117647026724,0.19418928682010517,0.5071181223547541,0.3333333333333357,0.4418604651162781,0.6746755040044192,0
0.466867469879503,0.3237410071942506,0.4672518568534798,0.4653784219001551,0.4242424242420384,0.5119047619047628,0.5458422174840081,0.4558823529409892,0.10413871400557184,0.43863024240092585,0.3333333333333357,0.39534883720930125,0.5136702568351268,0
0.24999999999997158,0.3843470678003129,0.3818365968939901,0.8115942028985472,0.1363636363630576,0.2857142857142847,0.8251599147121453,0.1323529411756681,0.25642481164207,0.2427856868026197,0.4166666666666714,0.5891472868217029,0.6644573322286647,0
0.6234939759036138,0.5705253978635341,0.7126941255908186,0.49436392914653027,0.3030303030300274,0.6904761904761898,0.5671641791044806,0.38235294117612284,0.5686345340076358,0.5659869180454038,0.5833333333333357,0.31007751937984196,0.3627450980392162,2
0.5903614457831168,0.42555046871594016,0.5931802835921687,0.5990338164251341,0.31818181818198354,0.44047619047619335,0.5010660980810115,0.29411764705855603,0.2396532149860704,0.30088495575221685,0.5,0.44961240310077244,0.4954432477216244,0
0.2831325301204686,0.34902986701548144,0.37660364618501063,0.5700483091787447,0.22727272727297532,0.32142857142857295,0.5948827292110934,0.35294117647026724,0.22623593766126504,0.3686033089649854,0.5833333333333357,0.550387596899224,0.68171775752554,0
0.45783132530121406,0.5131894484412456,0.5950371370695464,0.4380032206119182,0.2727272727270247,0.5059523809523832,0.3944562899786632,0.26470588235270043,0.3267623077717019,0.3916891111966194,0.5,0.47286821705426263,0.4693454846727434,0
0.4789156626505928,0.3812949640287826,0.4934166103983806,0.5120772946859802,0.37878787878798903,0.44642857142857295,0.5692963752665321,0.4264705882351336,0.2284549489111356,0.5552135436706465,0.3333333333333357,0.550387596899224,0.5994200497100195,0
0.5240963855421796,0.629387399171577,0.9107022282241743,0.32206119162640334,0.5606060606060055,0.7857142857142883,0.21961620469083698,0.6617647058819784,0.09304365775621903,0.8257021931512156,0.5833333333333357,0.38759689922480334,0.32007732670533073,2
0.3132530120481931,0.430782646609984,0.3879135719108717,0.6103059581320451,0.25757575757597806,0.4107142857142847,0.5991471215351822,0.2794117647058556,0.14480338528228032,0.32474028472489636,0.3333333333333357,0.6744186046511587,0.5086992543496223,0
0.3584337349397515,0.19402659690430113,0.3183659689399043,0.6135265700483075,0.25757575757597806,0.4285714285714306,0.6524520255863564,0.2794117647058556,0.2497677778924583,0.43016544824932623,0.4166666666666714,0.5658914728682127,0.5444628555647597,0
0.5572289156626482,0.5009810333551385,0.580688723835248,0.4879227053140056,0.31818181818198354,0.5535714285714306,0.35607675906183545,0.2794117647058556,0.47182371761791586,0.5721431319738386,0.5833333333333357,0.37209302325581106,0.43012979839823373,1
